reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion,normalized,tokens,tokens_no_stopword,stemmed,clean_text,sentiment
d75547c4-b86c-4b10-9579-c1d364aef4db,Erfan Efendy,https://play-lh.googleusercontent.com/a-/ALV-UjVtDjRrbaB_py-EYtQVWt8i6M3k5EaLec-wHSicl2eSXdK0j_b_,dibuat.. tapi giliran mau daftar di persulit..... bikin ribet juga,1,0,4.6.9,2025-03-31 23:29:05,"Hai, Sobat. Untuk pendaftaran subsidi tepat QR Code, silakan daftarkan via aplikasi MyPertamina atau via website https://subsiditepat.mypertamina.id/. dengan proses verifikasi maksimal 14 hari kerja. Jika pertanyaan lainnya silakan sampaikan melalui salah satu kanal interaksi Pertamina Call Center 135 agar dibantu pengecekan ya.Tks.-Adi PCC135",2025-04-02 03:09:45,4.6.9,dibuat tapi giliran mau daftar di persulit bikin ribet juga,"['dibuat', 'tapi', 'giliran', 'mau', 'daftar', 'di', 'persulit', 'bikin', 'ribet', 'juga']","['dibuat', 'tapi', 'giliran', 'mau', 'daftar', 'persulit', 'bikin', 'ribet', 'juga']","['buat', 'tap', 'gilir', 'mau', 'daftar', 'persulit', 'bikin', 'ribet', 'juga']",buat tap gilir mau daftar persulit bikin ribet juga,negatif
455ef009-0572-448a-a9ca-3020d8c7d8b2,Arifuddin din,https://play-lh.googleusercontent.com/a-/ALV-UjXjIgxcM-FhluAhe0L6I7qDw4t_4jMCEZWrVCHzwXnSha2uRAlv,semoga dengan adnya barcode tidak menyusahlan rakyat indonesia raya,5,0,4.6.6,2025-03-31 15:28:47,"Hai, Sobat Arifuddin. Terimakasih telah menggunakan Aplikasi MyPertamina. Dukung terus Pertamina agar kedepannya lebih baik. Tks.-Adi PCC135",2025-04-02 03:10:45,4.6.6,semoga dengan adnya barcode tidak menyusahlan rakyat indonesia raya,"['semoga', 'dengan', 'adnya', 'barcode', 'tidak', 'menyusahlan', 'rakyat', 'indonesia', 'raya']","['semoga', 'adnya', 'barcode', 'menyusahlan', 'rakyat', 'indonesia', 'raya']","['moga', 'ad', 'barcode', 'usahl', 'rakyat', 'indonesia', 'raya']",moga ad barcode usahl rakyat indonesia raya,negatif
64aede46-0db0-4678-a769-5840185a8087,Rex Mandagi,https://play-lh.googleusercontent.com/a-/ALV-UjWX6NCLIV8BGqDCx-Hsmxz3qllGqW6uR6DKlniAZgHV4hT7i--H,ok,5,0,4.6.9,2025-03-31 12:41:13,"Hai, Sobat Rex. Terimakasih telah menggunakan Aplikasi MyPertamina. Dukung terus Pertamina agar kedepannya lebih baik. Tks.-Adi PCC135",2025-04-02 03:13:24,4.6.9,ok,['ok'],['ok'],['ok'],ok,netral
43f05ab7-03ae-4f9f-9b10-2e233e507b5f,Sukarti Bayu,https://play-lh.googleusercontent.com/a/ACg8ocImB1D8iKG-jYlNHcUyMH4dJaGXrlvVKhlGacTjMs7AROlV0g=mo,ga bisa daftar lawak,1,0,4.6.9,2025-03-31 12:09:26,"Hai, Sobat. Untuk pendaftaran subsidi tepat QR Code, silakan daftarkan via aplikasi MyPertamina atau via website https://subsiditepat.mypertamina.id/. dengan proses verifikasi maksimal 14 hari kerja. Jika pertanyaan lainnya silakan sampaikan melalui salah satu kanal interaksi Pertamina Call Center 135 agar dibantu pengecekan ya.Tks.-Adi PCC135",2025-04-02 03:18:45,4.6.9,ga bisa daftar lawak,"['ga', 'bisa', 'daftar', 'lawak']","['ga', 'daftar', 'lawak']","['ga', 'daftar', 'lawak']",ga daftar lawak,negatif
b27e1a5c-6877-4087-9afe-806e0deee341,Inwan Tanu wijaya,https://play-lh.googleusercontent.com/a-/ALV-UjVi_OvDtiNg6l06gY3XX1SeExBrOSzQjbf7W9LWlqvxWgUX1Kx4,mantul😀,5,0,4.6.9,2025-03-31 11:04:51,"Hai, Sobat Inwan. Terimakasih telah menggunakan Aplikasi MyPertamina. Dukung terus Pertamina agar kedepannya lebih baik. Tks.-Adi PCC135",2025-04-02 03:19:20,4.6.9,mantul,['mantul'],['mantul'],['mantul'],mantul,positif
ee5a68a5-2f80-4782-88d0-baec5ce9b825,Redmi New,https://play-lh.googleusercontent.com/a/ACg8ocJGA7rP4BYZ5DDyclgu0bcJHWX1Zxdyvb-TY0mjTo-5cZyMpQ=mo,mantap,5,0,,2025-03-31 09:42:10,"Hai, Sobat Redmi. Terimakasih telah menggunakan Aplikasi MyPertamina. Dukung terus Pertamina agar kedepannya lebih baik. Tks.-Adi PCC135",2025-04-02 03:20:17,,mantap,['mantap'],['mantap'],['mantap'],mantap,positif
776c0920-e0e6-4446-8192-e1518d5a7d6c,arba,https://play-lh.googleusercontent.com/a-/ALV-UjVohvh2bp695Ylc1W2eKLMgaLdL5-WuQ5c8qkMJok4EdoAFWA,mantan ini sangat oke,5,0,,2025-03-31 08:02:44,"Hai, Sobat Arba. Terimakasih telah menggunakan aplikasi MyPertamina. Dukung terus Pertamina agar kedepannya lebih baik. Tks.-Hanny PCC135",2025-04-02 04:21:03,,mantan ini sangat oke,"['mantan', 'ini', 'sangat', 'oke']","['mantan', 'sangat', 'oke']","['mant', 'sangat', 'oke']",mant sangat oke,positif
a6943e7f-a06d-4d9e-9ecb-86aeb5c70f7f,Asmara Jaya Ida Bagus Kade,https://play-lh.googleusercontent.com/a-/ALV-UjXltdKF3aYz3uIXwhAg0-eN0wGr3X31KumC2CEJzadH9_JMtmX5,gak bisa daftar kendaraan,1,0,4.6.8,2025-03-31 07:50:36,"Hai, Sobat. Untuk pendaftaran subsidi tepat QR Code, silakan daftarkan via aplikasi MyPertamina atau via website https://subsiditepat.mypertamina.id/. dengan proses verifikasi maksimal 14 hari kerja. Jika pertanyaan lainnya silakan sampaikan melalui salah satu kanal interaksi Pertamina Call Center 135 agar dibantu pengecekan ya.Tks.-Adi PCC135",2025-04-02 03:21:48,4.6.8,gak bisa daftar kendaraan,"['gak', 'bisa', 'daftar', 'kendaraan']","['gak', 'daftar', 'kendaraan']","['gak', 'daftar', 'ndara']",gak daftar ndara,negatif
ff41bfa9-092c-4609-984b-0410c9bd6204,Mohamad Afifi,https://play-lh.googleusercontent.com/a-/ALV-UjVtFz9fdhJJP0DUfg6Pdpl1A383jopCRkFzm7tHsp7H5kehFz4,sampah.login gak masuk masuk,1,0,,2025-03-31 07:46:27,"Hai, Sobat Afifi. Mimin sarankan silakan coba clear cache aplikasi, lakukan restart handphone kemudian bisa mencoba akses kembali dan pastikan jaringan stabil. Jika masih berkendala, silakan sampaikan melalui sosial media Pertamina Call Center 135 seperti Instagram @pertamina.135 agar dibantu pengecekan. Tks.-Hanny PCC135",2025-04-02 04:23:16,,sampahlogin gak masuk masuk,"['sampahlogin', 'gak', 'masuk', 'masuk']","['sampahlogin', 'gak', 'masuk', 'masuk']","['sampahlogin', 'gak', 'masuk', 'masuk']",sampahlogin gak masuk masuk,negatif
674aa474-26a6-4ba9-879f-a709cbe076e7,Eko Acong,https://play-lh.googleusercontent.com/a/ACg8ocLkCz7Y6IpTKoM7e-HvIPFt5yPbY_tm83QeaaFr4QoKXRdqXQ=mo,pasti pas,5,0,4.6.9,2025-03-31 07:25:12,"Hai, Sobat Eko. Terimakasih telah menggunakan aplikasi MyPertamina. Dukung terus Pertamina agar kedepannya lebih baik. Tks.-Hanny PCC135",2025-04-02 04:29:49,4.6.9,pasti pas,"['pasti', 'pas']","['pasti', 'pas']","['past', 'pas']",past pas,netral
